"company_name","company_industry","company_location","company_description","linkedin_followers","linkedin_company_url","linkedin_search_term","linkedin_search_params"
"Software Sources","IT Services and IT Consulting","Ra'anana","Software Sources is a leading global distributor and reseller of top-tier software products, serving over 10,000 customers worldwide. Established in 1992, we have expanded our presence with branch offices in Israel, India, Germany, Austria, Taiwan, the United Arab Emirates, and the USA. Our commitment to providing high-quality, brand-name software solutions has made us a trusted partner for businesses and organizations across industries. Beyond software distribution, we offer comprehensive technical and professional services to help customers maximize the value of their software investments. Our expert teams guide customers through every stage of the sales process, from product selection to deployment and long-term support. We provide presales consultation, software implementation, integration, optimization, and ongoing technical advisory services, ensuring that every solution is tailored to our clients’ specific needs. Our company is structured into specialized departments, each focusing on different software domains to provide dedicated expertise and industry-specific solutions. We proudly serve government agencies, academic institutions, high-tech enterprises, and private customers, offering tailored software solutions that drive innovation and operational efficiency. Our portfolio includes industry-leading software solutions such as ManageEngine, Hex-Rays, ABBYY, JetBrains, Adobe, Microsoft, Zoho, Intel Software, Faronics, Zoom, Atlassian, TechSmith, and many more. By partnering with globally recognized software vendors, we ensure that our customers have access to the most advanced, reliable, and innovative technologies available. At Software Sources, we believe in going beyond just delivering software—we provide the expertise, support, and dedication needed to ensure success. We Will Go The Extra Mile to empower businesses with the best software solutions, exceptional service, and global support—anytime, anywhere in the world.",5000,"https://www.linkedin.com/company/software-sources/","softwarese","[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]"
"Software Group","Software Development","Sofia","Software Group is a global technology company specialized in digitalization and integration solutions for financial service providers. We help FSPs successfully go through the process of digital transformation, extend their outreach and improve operational efficiency. Founded in 2009 and headquartered in Sofia, Bulgaria, Software Group currently serves a worldwide client base in more than 70 countries from 9 regional offices located in Australia, Bulgaria, Egypt, Ghana, India, Kenya, Mexico, the Philippines and the USA. Visit us at: https://www.softwaregroup.com",23000,"https://www.linkedin.com/company/software-group-bg-ltd/","softwarese","[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]"
"Software Interactive","Software Development","Gliwice, Silesia","Tworzymy dedykowane systemy IT wspierające rozwój biznesu – od nowoczesnych CRM-ów z AI po zaawansowane rozwiązania R&D. Pomagamy firmom spoza branży IT automatyzować procesy, porządkować dane i podejmować lepsze decyzje w oparciu o technologię. Łączymy inżynierię oprogramowania, sztuczną inteligencję i realne potrzeby biznesu.",3000,"https://www.linkedin.com/company/softintgliwice/","softwarese","[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]"
"Dynamo Software","Financial Services","Watertown, MA","Since 1998, the Dynamo team and its Client Services and Support organization have worked alongside fund managers, institutional investors, and service providers to identify and solve key challenges in the alternative investments ecosystem. Today, we are proud to offer a complete investment management platform that is configurable, cloud-based, automated, and versatile. GPs and Deal Teams use our platform for: -Deal Management & CRM -Investor Relations & Fundraising -Portfolio Monitoring & ESG -Fund & Investment Accounting -Investor Portal Communications LPs and Asset Allocators use our platform for: -Research Management -Stakeholder Communications -Portfolio Management All users can leverage Dynamo mobile for on-the-go access, an ecosystem of service providers, flexible integration capabilities, and time-saving data automation. Our clients include: -Private Equity -Venture Capital -Hedge Funds -Corporate Development -Investment Banking -Real Estate -Endowments & Foundations -Family Office -Pensions -Asset Managers -Funds of Funds -Insurance Our product stack sets us apart from the competition with dynamic, interactive data visualizations and drill-through capabilities, third-party integration and API data sourcing, integrated compliance reporting for FACTA, KYC, ILPA, and more, and a firm-wide single source of truth database for research, performance metrics, activities, insights, and document management. Dynamo is a global company, with six offices worldwide. Find us in the U.S., England, Bulgaria, Singapore, UAE, and Hong Kong. Dynamo is the end-to-end cloud platform every alternative investments firm needs. With Dynamo, there is a better way to take control of your investment insights. We’re ready to show you how. Learn why Dynamo is trusted by thousands of customers worldwide.",12000,"https://www.linkedin.com/company/dynamo-software/","softwarese","[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]"
"Botree Software International Pvt. Limited","Software Development","Chennai, Tamilnadu","We make it easy for businesses to streamline operations, make data-driven decisions, and boost sales with our robust suite of products. With over 25+ years of industry experience, we have been enabling businesses across diverse verticals to drive revenue velocity, automate distribution, and enhance retail execution. Head over to our website to learn more about us - https://botreesoftware.com/?utm_source=linkedin&utm_medium=social&utm_campaign=About_Us",16000,"https://www.linkedin.com/company/botree-software-international-pvt-limited/","softwarese","[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]"
"FINEXCORE Software Solutions","IT Services and IT Consulting","Dubai, UAE","At FINEXCORE, we’re transforming the way banks operate through intelligent automation and advanced digital solutions. With over a decade of Corporate Banking experience, we help banks modernize lending, trade, and payment ecosystems using our proprietary platforms, which are trusted by the leading global banks. 𝗢𝘂𝗿 𝗩𝗶𝘀𝗶𝗼𝗻 • To be the Global Leader in Banking Technology Transformation • Deliver Measurable Business Impact • Accelerate Clients' Digital Banking Journey • Transforming Corporate Lending with Digital Intelligence 𝗖𝗼𝗿𝗲 𝗦𝗼𝗹𝘂𝘁𝗶𝗼𝗻𝘀 • FacilitySight • LimitSuite • UtilizationTracking • SettleX • DebtTracking • CommBridge • ShariahShield 𝗢𝘂𝗿 𝗖𝗼𝗿𝗲 𝗘𝘅𝗽𝗲𝗿𝘁𝗶𝘀𝗲 • Business Consulting • Project & Program Management • Corporate Banking • IT Solutions for Financial Institutions • Automation & Digital Transformation • System Integration 𝗢𝘂𝗿 𝗧𝗿𝗮𝗰𝗸 𝗥𝗲𝗰𝗼𝗿𝗱 ✔ Proven Legacy of Trust and Expertise ✔ Driving Continuous Evolution in Banking Technology ✔ Delivering Measurable Value Across the Lending Lifecycle ✔ Turning Strategic Vision into Scalable Technology Reality ✔ Consistent Excellence Across Global Implementations ✔ Leading the Shift from Legacy Systems to Intelligent Lending Solutions",13000,"https://www.linkedin.com/company/finexcore/","softwarese","[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]"
"FFS Software Solutions Company LLC","Information Technology & Services","Dubai","We are a unified digital solutions provider. At FFS (First Future Solutions), we seamlessly bridge technology and business to enable our clients to build the future with confidence. FFS has over two decades of experience driving digital transformation for banks. We are headquartered in the MENA region, with solutions implemented across the globe. FFS bridges the world of technology, finance, innovation, and transformation, making it easier for businesses to offer outstanding customer experiences while running more efficiently. FFS vision is to be the global partner of choice for digital transformation. We want to help businesses not just react to changes but shape them. FFS doesn’t just deliver products — we build partnerships to help clients achieve their vision of the future.",5000,"https://www.linkedin.com/company/ffs-software-solutions-company/","softwarese","[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]"
"Tronica Software Development","Software Development","Cairo, Cairo","Tronica is an innovative technology and development company specialized in the development and customization of enterprise-level solutions, Web development, information technology and mobile apps that will transform the way companies do business",4000,"https://www.linkedin.com/company/tronicasoftwaredevelopment/","softwarese","[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]"
"Naba Software","Information Technology & Services","Dubai, Dubai","Naba Computer was established in the year 2000 as a specialist in computer technologies with all its categories. Naba provides technical, informational and research support in hardware, systems and networks for all the government and private sector companies and establishments. Our experience is developed over the years enabling us to provide several complete solutions for the private and government companies and institutions. We believe that success in achieving the desired goals will not take place unless there is total development in manufacturing systems. From our believe in the distinctiveness of the Arab user, we care about presenting complete solutions with the latest Client/Server techniques and the latest Object Oriented Programming (OOP) techniques, making the job of the user easier by providing sufficient explanation and instant help On-Line Help, and by providing after sale help, technical support and maintenance",3000,"https://www.linkedin.com/company/naba-software/","softwarese","[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]"
"Curawella - Healthcare Software Company","Hospitals and Health Care","San Francisco, California","The experience we have today is confusing & sometimes painful. And we all deserve better. Curawella Digital Healthcare Company was founded in 2018 and launched to the public in 2020 to provide solutions for healthcare existing pain and needs in a digitalized way. At Curawella, we aim to overhaul and improve the entire physician-patient experience and enhance Medicines marketing.",4000,"https://www.linkedin.com/company/curawella/","softwarese","[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]"
"Dew Software","Software Development","Fremont, California","At Dew Software, we are a leading player in the Digital Transformation space, empowering businesses to thrive in the rapidly evolving digital landscape. With over 25 years of industry expertise, we deliver innovative solutions and services to Fortune 500 companies, driving their growth and success. As a CMMi Level 3 and ISO certified organization, we are committed to excellence, quality, and customer satisfaction. Our robust processes and stringent quality standards ensure that we deliver exceptional outcomes for our clients, consistently exceeding their expectations. We specialize in end-to-end Quality Assurance and transformation services, helping our clients achieve superior software quality and optimize their development processes. With a global presence and 14 development centers spanning 9 countries, our organization brings together diverse talent and expertise from around the world. We foster a collaborative and inclusive work culture that encourages creativity, innovation, and continuous learning. At Dew Software, we are experts in the Build Operate Transfer (BOT) model, providing comprehensive solutions that enable seamless transitions from project initiation to full-scale operations. Our expertise in BOT ensures that our clients can quickly establish their technology operations and effectively manage their IT assets for long-term success. We believe in the power of digital transformation to revolutionize industries and drive positive change. We leverage cutting-edge technologies, such as AI, cloud computing, and data analytics, to help our clients optimize their operations, enhance customer experiences, and stay ahead in today's competitive market. Join our talented team of professionals who are passionate about making a difference. At Dew Software, you'll have the opportunity to work on exciting projects, collaborate with industry leaders, and unleash your full potential. Be a part of our journey in shaping the future of digital transformation",86000,"https://www.linkedin.com/company/dewsoftware/","softwarese","[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]"
"Daffodil Software","IT Services and IT Consulting","Grandville, MI","Daffodil Software is a leading software engineering partner that’s empowering 100+ organizations across the globe with innovative solutions, unparalleled execution capabilities and unwavering focus on customer satisfaction. With our core in tech agility & process orientation, we help businesses evolve & elevate their value proposition & look beyond technology. Why Choose Daffodil? CMMI Level 3 Accredited Organization 1200+ Technologists 1000+ Customers Served 20+ Years of Expertise 4.8 Av. CSAT Score",86000,"https://www.linkedin.com/company/daffodil-software-ltd-/","softwarese","[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]"
"Awery Aviation Software","Transportation, Logistics, Supply Chain and Storage","Ras Al Khaimah, Ras Al Khaimah","Awery offers leading ecosystem of cloud-based ERP, CRM and mobile apps to completely and holistically manage aviation and logistics companies. From operations to sales & bookings, from planning & control to managerial & financial accounting. Fully scalable, with workflow management, document control and connectivity",5000,"https://www.linkedin.com/company/awery-airlines-solutions/","softwarese","[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]"
"Avidia Software","Software Development","Raleigh, North Carolina","People and Payroll Management Software HR | Payroll | Performance | Time | Onboarding | Analytics",6000,"https://www.linkedin.com/company/avidia-software/","softwarese","[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]},{""origin"":""GLOBAL_SEARCH_HEADER"",""companyHqGeo"":[""100459316"",""104305776"",""106155005""],""companySize"":[""B"",""C""],""industryCompanyVertical"":[""4""]}]"
