source,company_name,country,company_industry,categories,company_location,address,company_description,shortAbout,linkedin_followers,domain,linkedin_company_url,linkedin_search_term,linkedin_search_params,id,code,title,createdAt,updatedAt,logo,hidden,highlights,locationLng,locationLat,invitationCode,isActive,emails,phones,geography_status,geography_confidence,geography_evidence,review_reason
linkedin,Software Group,Bulgaria,Software Development,,Sofia,,"Software Group is a global technology company specialized in digitalization and integration solutions for financial service providers. We help FSPs successfully go through the process of digital transformation, extend their outreach and improve operational efficiency. Founded in 2009 and headquartered in Sofia, Bulgaria, Software Group currently serves a worldwide client base in more than 70 countries from 9 regional offices located in Australia, Bulgaria, Egypt, Ghana, India, Kenya, Mexico, the Philippines and the USA. Visit us at: https://www.softwaregroup.com",,23000,,https://www.linkedin.com/company/software-group-bg-ltd/,softwarese,"[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]",,,,,,,,,,,,,,,review_non_mena,medium,Sofia,"Source location resolves to Bulgaria, outside the configured MENA scope."
linkedin,Software Interactive,Poland,Software Development,,"Gliwice, Silesia",,"Tworzymy dedykowane systemy IT wspierające rozwój biznesu – od nowoczesnych CRM-ów z AI po zaawansowane rozwiązania R&D. Pomagamy firmom spoza branży IT automatyzować procesy, porządkować dane i podejmować lepsze decyzje w oparciu o technologię. Łączymy inżynierię oprogramowania, sztuczną inteligencję i realne potrzeby biznesu.",,3000,,https://www.linkedin.com/company/softintgliwice/,softwarese,"[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]",,,,,,,,,,,,,,,review_non_mena,medium,"Gliwice, Silesia","Source location resolves to Poland, outside the configured MENA scope."
linkedin,Dynamo Software,United States,Financial Services,,"Watertown, MA",,"Since 1998, the Dynamo team and its Client Services and Support organization have worked alongside fund managers, institutional investors, and service providers to identify and solve key challenges in the alternative investments ecosystem. Today, we are proud to offer a complete investment management platform that is configurable, cloud-based, automated, and versatile. GPs and Deal Teams use our platform for: -Deal Management & CRM -Investor Relations & Fundraising -Portfolio Monitoring & ESG -Fund & Investment Accounting -Investor Portal Communications LPs and Asset Allocators use our platform for: -Research Management -Stakeholder Communications -Portfolio Management All users can leverage Dynamo mobile for on-the-go access, an ecosystem of service providers, flexible integration capabilities, and time-saving data automation. Our clients include: -Private Equity -Venture Capital -Hedge Funds -Corporate Development -Investment Banking -Real Estate -Endowments & Foundations -Family Office -Pensions -Asset Managers -Funds of Funds -Insurance Our product stack sets us apart from the competition with dynamic, interactive data visualizations and drill-through capabilities, third-party integration and API data sourcing, integrated compliance reporting for FACTA, KYC, ILPA, and more, and a firm-wide single source of truth database for research, performance metrics, activities, insights, and document management. Dynamo is a global company, with six offices worldwide. Find us in the U.S., England, Bulgaria, Singapore, UAE, and Hong Kong. Dynamo is the end-to-end cloud platform every alternative investments firm needs. With Dynamo, there is a better way to take control of your investment insights. We’re ready to show you how. Learn why Dynamo is trusted by thousands of customers worldwide.",,12000,,https://www.linkedin.com/company/dynamo-software/,softwarese,"[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]",,,,,,,,,,,,,,,review_non_mena,medium,"Watertown, MA","Source location resolves to United States, outside the configured MENA scope."
linkedin,Botree Software International Pvt. Limited,India,Software Development,,"Chennai, Tamilnadu",,"We make it easy for businesses to streamline operations, make data-driven decisions, and boost sales with our robust suite of products. With over 25+ years of industry experience, we have been enabling businesses across diverse verticals to drive revenue velocity, automate distribution, and enhance retail execution. Head over to our website to learn more about us - https://botreesoftware.com/?utm_source=linkedin&utm_medium=social&utm_campaign=About_Us",,16000,,https://www.linkedin.com/company/botree-software-international-pvt-limited/,softwarese,"[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]",,,,,,,,,,,,,,,review_non_mena,medium,"Chennai, Tamilnadu","Source location resolves to India, outside the configured MENA scope."
linkedin,Curawella - Healthcare Software Company,United States,Hospitals and Health Care,,"San Francisco, California",,"The experience we have today is confusing & sometimes painful. And we all deserve better. Curawella Digital Healthcare Company was founded in 2018 and launched to the public in 2020 to provide solutions for healthcare existing pain and needs in a digitalized way. At Curawella, we aim to overhaul and improve the entire physician-patient experience and enhance Medicines marketing.",,4000,,https://www.linkedin.com/company/curawella/,softwarese,"[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]",,,,,,,,,,,,,,,review_non_mena,medium,"San Francisco, California","Source location resolves to United States, outside the configured MENA scope."
linkedin,Dew Software,United States,Software Development,,"Fremont, California",,"At Dew Software, we are a leading player in the Digital Transformation space, empowering businesses to thrive in the rapidly evolving digital landscape. With over 25 years of industry expertise, we deliver innovative solutions and services to Fortune 500 companies, driving their growth and success. As a CMMi Level 3 and ISO certified organization, we are committed to excellence, quality, and customer satisfaction. Our robust processes and stringent quality standards ensure that we deliver exceptional outcomes for our clients, consistently exceeding their expectations. We specialize in end-to-end Quality Assurance and transformation services, helping our clients achieve superior software quality and optimize their development processes. With a global presence and 14 development centers spanning 9 countries, our organization brings together diverse talent and expertise from around the world. We foster a collaborative and inclusive work culture that encourages creativity, innovation, and continuous learning. At Dew Software, we are experts in the Build Operate Transfer (BOT) model, providing comprehensive solutions that enable seamless transitions from project initiation to full-scale operations. Our expertise in BOT ensures that our clients can quickly establish their technology operations and effectively manage their IT assets for long-term success. We believe in the power of digital transformation to revolutionize industries and drive positive change. We leverage cutting-edge technologies, such as AI, cloud computing, and data analytics, to help our clients optimize their operations, enhance customer experiences, and stay ahead in today's competitive market. Join our talented team of professionals who are passionate about making a difference. At Dew Software, you'll have the opportunity to work on exciting projects, collaborate with industry leaders, and unleash your full potential. Be a part of our journey in shaping the future of digital transformation",,86000,,https://www.linkedin.com/company/dewsoftware/,softwarese,"[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]",,,,,,,,,,,,,,,review_non_mena,medium,"Fremont, California","Source location resolves to United States, outside the configured MENA scope."
linkedin,Daffodil Software,United States,IT Services and IT Consulting,,"Grandville, MI",,"Daffodil Software is a leading software engineering partner that’s empowering 100+ organizations across the globe with innovative solutions, unparalleled execution capabilities and unwavering focus on customer satisfaction. With our core in tech agility & process orientation, we help businesses evolve & elevate their value proposition & look beyond technology. Why Choose Daffodil? CMMI Level 3 Accredited Organization 1200+ Technologists 1000+ Customers Served 20+ Years of Expertise 4.8 Av. CSAT Score",,86000,,https://www.linkedin.com/company/daffodil-software-ltd-/,softwarese,"[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]",,,,,,,,,,,,,,,review_non_mena,medium,"Grandville, MI","Source location resolves to United States, outside the configured MENA scope."
linkedin,Avidia Software,United States,Software Development,,"Raleigh, North Carolina",,People and Payroll Management Software HR | Payroll | Performance | Time | Onboarding | Analytics,,6000,,https://www.linkedin.com/company/avidia-software/,softwarese,"[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]},{""origin"":""GLOBAL_SEARCH_HEADER"",""companyHqGeo"":[""100459316"",""104305776"",""106155005""],""companySize"":[""B"",""C""],""industryCompanyVertical"":[""4""]}]",,,,,,,,,,,,,,,review_non_mena,medium,"Raleigh, North Carolina","Source location resolves to United States, outside the configured MENA scope."
linkedin,Sigma Software,United Kingdom,Software Development,,London,,"Sigma Software, an award-winning and trusted IT partner, has been serving customers for over 24 years, providing comprehensive IT solutions to various businesses, ranging from startups to established software product houses. As one of Europe's substantial IT consultancies, it brings together a dedicated workforce of over 2,000 professionals in 20+ countries. With a diverse client base, including more than 300 enterprises, including Fortune 500 stalwarts, Sigma Software is a preferred choice for developing solutions that help businesses create cutting-edge products while meeting their unique needs. Sigma Software operates as a dynamic ecosystem of tech companies, offering 25 ready-to-implement innovative products and 40+ value-added services. Furthermore, Sigma Software is committed to fostering innovation through initiatives such as the Sigma Software Labs business incubator, Sigma Software University, the SID Venture Partners VC Fund, UA Tech Network, Techosystem, the European Business Association, and other collaborative efforts. Since 2002, Sigma Software has consistently earned recognition on the IAOP's prestigious World's Top 100 Outsourcing list. The company's accomplishments have also been acknowledged by prominent global media outlets such as Forbes, CNBC, The Times, and Reuters.",,143000,,https://www.linkedin.com/company/sigma-software-page/,softwarese,"[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]",,,,,,,,,,,,,,,review_non_mena,medium,London,"Source location resolves to United Kingdom, outside the configured MENA scope."
linkedin,Lepton Software,India,IT Services and IT Consulting,,"Gurgaon, Haryana",,"Lepton Software is a pioneering force in geospatial intelligence, renowned for its innovative technology solutions tailored for the telecommunications industry and extending its expertise across diverse sectors. Our advanced GIS solutions, digital twins, remote sensing, RF mapping (2D, 2.5D, & 3D), and location-based services empower businesses to make informed decisions and optimize operations. Industry Focus: We specialize in tailored geospatial solutions for: - Telecommunications: End-to-end 5G and Fiber/FTTx network planning, deployment, and optimization. - Government and Defence - BFSI (Banking, Financial Services, and Insurance) - FMCG and Retail - Automobile - Logistics - Restaurants and Food Key Products: - NetworkAccess: A unified platform for telecommunication businesses, encompassing four main modules: # NetworkAccess SmartPlanner: End-to-End Fiber/FTTx Network Planning # NetworkAccess SmartInventory: Fiber Network Inventory Management # NetworkAccess SmartOPS: Workforce Management Tool # NetworkAccess SmartSQ: End-to-End Feasibility Checks # NetworkAccess SmartSignal: Create a Digital Twin of Telco Network - rfMAP (2D & 3D): Advanced mapping for network planning, navigation, risk mitigation, and smart city planning. - neo360: Geo-analytics platform for visualizing and deriving insights from data correlations. - Lepton Maps API: Enhances mapping experiences with advanced analytics. - SmartMarket: Business intelligence tool for visualizing and analyzing business data. - Lepton SmartData: Data as a Service (DaaS) for leveraging spatial datasets in decision-making. Partnership with Google: For over 12 years, Lepton Software has been the preferred technology partner for the Google Maps Platform in India, enhancing our geospatial offerings with cutting-edge mapping technology.",,119000,,https://www.linkedin.com/company/lepton-software/,softwarese,"[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]",,,,,,,,,,,,,,,review_non_mena,medium,"Gurgaon, Haryana","Source location resolves to India, outside the configured MENA scope."
