source,fit,company_name,country,company_industry,categories,company_location,address,company_description,shortAbout,linkedin_followers,domain,linkedin_company_url,linkedin_search_term,linkedin_search_params,id,code,title,createdAt,updatedAt,logo,hidden,highlights,locationLng,locationLat,invitationCode,isActive,emails,phones
linkedin,true,Software Sources,Israel,IT Services and IT Consulting,,Ra'anana,,"Software Sources is a leading global distributor and reseller of top-tier software products, serving over 10,000 customers worldwide. Established in 1992, we have expanded our presence with branch offices in Israel, India, Germany, Austria, Taiwan, the United Arab Emirates, and the USA. Our commitment to providing high-quality, brand-name software solutions has made us a trusted partner for businesses and organizations across industries. Beyond software distribution, we offer comprehensive technical and professional services to help customers maximize the value of their software investments. Our expert teams guide customers through every stage of the sales process, from product selection to deployment and long-term support. We provide presales consultation, software implementation, integration, optimization, and ongoing technical advisory services, ensuring that every solution is tailored to our clients’ specific needs. Our company is structured into specialized departments, each focusing on different software domains to provide dedicated expertise and industry-specific solutions. We proudly serve government agencies, academic institutions, high-tech enterprises, and private customers, offering tailored software solutions that drive innovation and operational efficiency. Our portfolio includes industry-leading software solutions such as ManageEngine, Hex-Rays, ABBYY, JetBrains, Adobe, Microsoft, Zoho, Intel Software, Faronics, Zoom, Atlassian, TechSmith, and many more. By partnering with globally recognized software vendors, we ensure that our customers have access to the most advanced, reliable, and innovative technologies available. At Software Sources, we believe in going beyond just delivering software—we provide the expertise, support, and dedication needed to ensure success. We Will Go The Extra Mile to empower businesses with the best software solutions, exceptional service, and global support—anytime, anywhere in the world.",,5000,,https://www.linkedin.com/company/software-sources/,softwarese,"[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]",,,,,,,,,,,,,,
linkedin,true,FINEXCORE Software Solutions,United Arab Emirates,IT Services and IT Consulting,,"Dubai, UAE",,"At FINEXCORE, we’re transforming the way banks operate through intelligent automation and advanced digital solutions. With over a decade of Corporate Banking experience, we help banks modernize lending, trade, and payment ecosystems using our proprietary platforms, which are trusted by the leading global banks. 𝗢𝘂𝗿 𝗩𝗶𝘀𝗶𝗼𝗻 • To be the Global Leader in Banking Technology Transformation • Deliver Measurable Business Impact • Accelerate Clients' Digital Banking Journey • Transforming Corporate Lending with Digital Intelligence 𝗖𝗼𝗿𝗲 𝗦𝗼𝗹𝘂𝘁𝗶𝗼𝗻𝘀 • FacilitySight • LimitSuite • UtilizationTracking • SettleX • DebtTracking • CommBridge • ShariahShield 𝗢𝘂𝗿 𝗖𝗼𝗿𝗲 𝗘𝘅𝗽𝗲𝗿𝘁𝗶𝘀𝗲 • Business Consulting • Project & Program Management • Corporate Banking • IT Solutions for Financial Institutions • Automation & Digital Transformation • System Integration 𝗢𝘂𝗿 𝗧𝗿𝗮𝗰𝗸 𝗥𝗲𝗰𝗼𝗿𝗱 ✔ Proven Legacy of Trust and Expertise ✔ Driving Continuous Evolution in Banking Technology ✔ Delivering Measurable Value Across the Lending Lifecycle ✔ Turning Strategic Vision into Scalable Technology Reality ✔ Consistent Excellence Across Global Implementations ✔ Leading the Shift from Legacy Systems to Intelligent Lending Solutions",,13000,,https://www.linkedin.com/company/finexcore/,softwarese,"[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]",,,,,,,,,,,,,,
linkedin,true,FFS Software Solutions Company LLC,United Arab Emirates,Information Technology & Services,,Dubai,,"We are a unified digital solutions provider. At FFS (First Future Solutions), we seamlessly bridge technology and business to enable our clients to build the future with confidence. FFS has over two decades of experience driving digital transformation for banks. We are headquartered in the MENA region, with solutions implemented across the globe. FFS bridges the world of technology, finance, innovation, and transformation, making it easier for businesses to offer outstanding customer experiences while running more efficiently. FFS vision is to be the global partner of choice for digital transformation. We want to help businesses not just react to changes but shape them. FFS doesn’t just deliver products — we build partnerships to help clients achieve their vision of the future.",,5000,,https://www.linkedin.com/company/ffs-software-solutions-company/,softwarese,"[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]",,,,,,,,,,,,,,
linkedin,true,Tronica Software Development,Egypt,Software Development,,"Cairo, Cairo",,"Tronica is an innovative technology and development company specialized in the development and customization of enterprise-level solutions, Web development, information technology and mobile apps that will transform the way companies do business",,4000,,https://www.linkedin.com/company/tronicasoftwaredevelopment/,softwarese,"[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]",,,,,,,,,,,,,,
linkedin,true,Naba Software,United Arab Emirates,Information Technology & Services,,"Dubai, Dubai",,"Naba Computer was established in the year 2000 as a specialist in computer technologies with all its categories. Naba provides technical, informational and research support in hardware, systems and networks for all the government and private sector companies and establishments. Our experience is developed over the years enabling us to provide several complete solutions for the private and government companies and institutions. We believe that success in achieving the desired goals will not take place unless there is total development in manufacturing systems. From our believe in the distinctiveness of the Arab user, we care about presenting complete solutions with the latest Client/Server techniques and the latest Object Oriented Programming (OOP) techniques, making the job of the user easier by providing sufficient explanation and instant help On-Line Help, and by providing after sale help, technical support and maintenance",,3000,,https://www.linkedin.com/company/naba-software/,softwarese,"[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]",,,,,,,,,,,,,,
linkedin,true,Awery Aviation Software,United Arab Emirates,"Transportation, Logistics, Supply Chain and Storage",,"Ras Al Khaimah, Ras Al Khaimah",,"Awery offers leading ecosystem of cloud-based ERP, CRM and mobile apps to completely and holistically manage aviation and logistics companies. From operations to sales & bookings, from planning & control to managerial & financial accounting. Fully scalable, with workflow management, document control and connectivity",,5000,,https://www.linkedin.com/company/awery-airlines-solutions/,softwarese,"[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]",,,,,,,,,,,,,,
linkedin,true,ESKADENIA Software,Jordan,Software Development,,"Amman, Amman",,"ESKADENIA Software is committed to continuously enrich its product offerings and create advanced software products according to market demands. ESKADENIA Software maintains this commitment by continually investing in research, development and customer care. In July of 2000, a group of telecom and IT professionals founded ESKADENIA Software. Their objective was to establish a world-renowned software development company providing distinguished software systems. Utilizing their wide contact network and diverse international experience, ESKADENIA Software was created and has grown to be a regional market leader in a short period. ESKADENIA Software is headquartered in Amman, Jordan with offices and customers in Asia, Europe, and Africa. Today, ESKADENIA Software consists of over 200 professionals with diverse industry backgrounds, with most of the ESKADENIA team, around 85%, actively working in Research and Development. ESKADENIA Software is a CMMI® level 3 certified company that provides top-quality software in the fields of Telecommunications, Insurance, Enterprise, Education, Healthcare and Internet.",,44000,,https://www.linkedin.com/company/eskadenia-software/,softwarese,"[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]",,,,,,,,,,,,,,
linkedin,true,Tranetech Software Solutions,United Arab Emirates,Information Technology & Services,,"Abu Dhabi, Abu Dhabi",,"Tranetech Software Solutions, we are a team with years of knowledge and experience for software development. Every one of us has a passion for design, development and successful deployment. In Tranetech Software Solutions, we deliver what we promise. Our team works on a client-centric approach that aims to deliver sustainable results that promote business growth. With our expertise, we help you deliver the perfect system for your business and make complex systems simple for the end-user and clients. Technologies play a vital role in turning an idea into a reality that is why we had a team consists of domain experts from varied technologies. We expertise in building intuitive solutions with technologies built on your choice of platform. The applications are horizontally scalable and keep your business online, available and responsive to change. All you need is to let us know your requirement and we will deliver a technical solution worthy of outstanding business success.",,16000,,https://www.linkedin.com/company/tranetech-software-solutions/,softwarese,"[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]",,,,,,,,,,,,,,
linkedin,true,TestPRO | Software Testing Services | خدمات اختبار البرمجيات,United Arab Emirates,IT Services and IT Consulting,,Dubai,,"تيست برو هي شركة مصرية متخصصة فى مجال اختبار البرمجيات والجودة في مصر والخليج At TestPRO, we specialize in providing our clients with exceptional Software Testing Services and Training. Our services include: • Functional Testing • Performance Testing • Acceptance Testing • Usability Testing • Portability Testing • Security/Penetration Testing • Test Automation • Mobile Testing • Agile Coaching • Software Testing Outsourcing • Software Testing Consultation Additionally, TestPRO is an ISTQB Gold Partner and an accredited training provider for ISTQB Certificates. We offer training programs that are designed to equip professionals with the necessary skills and knowledge in the field of software testing. TestPRO succeeded in saving up to 30% of testing costs and time for our partners while significantly improving quality results for leading organizations TestPRO succeeded in saving up to 30% of testing costs and time for our partners while significantly improving quality results for leading organizations.",,15000,,https://www.linkedin.com/company/testproeg/,softwarese,"[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]",,,,,,,,,,,,,,
linkedin,true,Microtech Software Solutions,Egypt,Software Development,,"Cairo, Giza",,"For over three decades, Microtech, the region’s leading enterprise software multi-national company, has provided the software and associated services which enable organizations in managing their business processes, and in obtaining timely and accurate information from their business systems. Microtech’s leadership, vision, and commitment to its clients have made it the Middle East’s largest enterprise software company, providing software and consulting and support services to enterprise clients throughout the region.",,10000,,https://www.linkedin.com/company/microtech_4/,softwarese,"[{""keywords"":""softwarese"",""origin"":""FACETED_SEARCH"",""spellCorrectionEnabled"":""true"",""companyHqGeo"":[""106155005"",""100459316"",""104305776""]}]",,,,,,,,,,,,,,
